,quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
626,2024Q4,ANSS,Software - Application,Technology,0.1044713666427744,29482304670.0,337.33,0.20631164158107,0.0095751934307651,416
643,2024Q1,APD,Chemicals - Specialty,Basic Materials,0.3973586996161095,53905075000.0,236.28,0.2836741021412417,0.0108769256813949,252
644,2024Q2,APD,Chemicals - Specialty,Basic Materials,0.3968161669051205,57416125000.0,251.66,0.2696932815542996,0.0124374155606771,226
645,2024Q3,APD,Chemicals - Specialty,Basic Materials,0.3740126242589944,66306698000.0,292.38,0.2618802220597944,-0.0288665435392297,204
646,2024Q4,APD,Chemicals - Specialty,Basic Materials,0.3779774696880341,64591908000.0,286.52,0.2616019770811198,0.0096677369817115,219
656,2024Q1,APH,"Hardware, Equipment & Parts",Technology,0.2577007026461354,69216000000.0,57.16,0.1265672381618847,0.0080475857242827,200
657,2024Q2,APH,"Hardware, Equipment & Parts",Technology,0.2926485462801558,80998951000.0,66.87,0.1116958410342591,0.00657993120981,160
658,2024Q3,APH,"Hardware, Equipment & Parts",Technology,0.2800067396454538,78439608000.0,64.85,0.1209722341047251,0.007710100231303,173
659,2024Q4,APH,"Hardware, Equipment & Parts",Technology,0.3211770412589435,84020610000.0,69.27,0.1174280578658414,0.0085173956979933,155
676,2024Q1,APP,Software - Application,Technology,0.669917835894877,23243711833.0,69.22,0.0327057918048071,0.0101126841953192,494
677,2024Q2,APP,Software - Application,Technology,0.6234777869332491,27935438397.0,83.22,0.0291685417071172,0.0110550348473924,422
678,2024Q3,APP,Software - Application,Technology,0.644929594648326,44278431225.0,130.55,0.0213294674489266,0.0098812715434699,303
679,2024Q4,APP,Software - Application,Technology,0.6059453159248893,109832894552.0,323.83,0.0099225100498454,0.0054658308371676,123
735,2024Q2,ARGX,Biotechnology,Healthcare,0.0070800770052191,25544469318.0,430.04,0.1668559619237472,-0.0011859361919821,442
736,2024Q4,ARGX,Biotechnology,Healthcare,0.0062963097914042,43633971405.0,615.0,0.1494075030046889,0.0191544715447154,318
753,2024Q1,ARM,Semiconductors,Technology,0.0285101551658887,129034778391.0,124.99,0.0410354484735942,0.0017601408112649,101
754,2024Q2,ARM,Semiconductors,Technology,0.0315989847715736,170819280000.0,163.62,0.0331519954890337,0.0012834616795012,68
755,2024Q3,ARM,Semiconductors,Technology,0.0319069997526589,150017490000.0,143.01,0.0400753272168465,0.0006992518005733,89
756,2024Q4,ARM,Semiconductors,Technology,0.03189736346516,129774720000.0,123.36,0.0494626380238,0.0019455252918287,108
