quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
2020Q4,ADM,Agricultural Farm Products,Consumer Defensive,0.22261107423721313,28380829999.0,44.6,0.8065296641610478,0.02780269058295964,407
2020Q2,ADNT,Auto - Parts,Consumer Cyclical,0.5045222996153447,1540196000.0,16.42,0.8107207112550086,-0.2107186358099878,1676
2020Q3,ADNT,Auto - Parts,Consumer Cyclical,0.4527823798850015,1629019999.0,17.33,0.7462071392276111,-0.02192729371032891,1726
2020Q4,ADNT,Auto - Parts,Consumer Cyclical,0.44489757207890746,3275334000.0,34.77,0.44425678776641636,0.04601668104687949,1486
2020Q2,ADP,Staffing & Employment Services,Industrials,0.06276186950249582,63814253999.0,134.83,0.09944664843426246,0.007120077134168953,134
2020Q3,ADP,Staffing & Employment Services,Industrials,0.06262547151339581,59618026000.0,127.16,0.10658380350400884,0.01100975149418056,160
2020Q4,ADP,Staffing & Employment Services,Industrials,0.054918410003669475,75025960000.0,161.49,0.08548144584650434,0.00935042417487151,161
2020Q2,ADPT,Biotechnology,Healthcare,0.05727625166408913,6500918617.0,48.38,0.08598972516162709,-0.005374121537825548,821
2020Q3,ADPT,Biotechnology,Healthcare,0.045919890312221295,6660080217.0,48.63,0.11860825177941849,-0.005552128315854411,889
2020Q4,ADPT,Biotechnology,Healthcare,0.09661469669853656,8217163294.0,59.13,0.09178277778478976,-0.005580923389142567,920
2020Q3,ADSK,Software - Application,Technology,0.3718267708315209,50729796000.0,231.009995,0.001329057417819759,0.0019479676626113082,193
2020Q4,ADSK,Software - Application,Technology,0.3530826814702666,67083197999.0,305.339996,0.0010335159973336846,0.0019650226235019665,185
2020Q2,ADT,Security & Protection Services,Industrials,0.6206410606683443,6072085740.0,7.2,0.5102196403322361,-0.019444444444444445,854
2020Q3,ADT,Security & Protection Services,Industrials,0.6049605564977829,6217370000.0,7.4,0.5573809073814988,-0.020270270270270268,920
2020Q4,ADT,Security & Protection Services,Industrials,0.5980596264813551,5987226400.0,7.14,0.5593038792389492,-0.02100840336134454,1081
2020Q2,ADTX,Biotechnology,Healthcare,1.3610993719123883,376362800000.0,101200000.0,-1.867720249068208e-05,-2.6883399209486165e-06,19
2020Q3,ADTX,Biotechnology,Healthcare,0.09883603120974122,252954000000.0,39000000.0,9.477938651829482e-05,-1.8921794871794874e-05,31
2020Q4,ADTX,Biotechnology,Healthcare,0.1402567433263106,287622400000.0,41600000.0,4.081083665409521e-05,-1.7349278846153846e-05,30
2020Q2,ADUS,Medical - Care Facilities,Healthcare,0.121149123722805,1445602080.0,92.559998,0.34311261978809193,0.004753673395714637,1712
2020Q3,ADUS,Medical - Care Facilities,Healthcare,0.14910178004719377,1495715260.0,94.51,0.3438891168159217,0.006136916728388529,1791
2020Q4,ADUS,Medical - Care Facilities,Healthcare,0.2685142653560121,1837610460.0,117.089996,0.27990148356959715,0.0045264328132695476,1883
2020Q2,ADV,Advertising Agencies,Communication Services,0.5513749967810829,2251437500.0,11.05,0.6724512672459262,-0.016289592760180993,1393
2020Q3,ADV,Advertising Agencies,Communication Services,0.5434558104186297,3226829665.0,10.16,0.7515883290662286,0.017716535433070866,1280
2020Q4,ADV,Advertising Agencies,Communication Services,0.3743409770190941,4182809713.0,13.17,0.5840736651316923,-0.033409263477600606,1325
2020Q2,ADVM,Biotechnology,Healthcare,0.1901043553880716,18555429600.0,208.8,0.01686760489096131,-0.0017241379310344825,423
2020Q3,ADVM,Biotechnology,Healthcare,0.12285335555069715,10052697000.0,103.0,0.05076988072390496,-0.003009708737864078,718
2020Q4,ADVM,Biotechnology,Healthcare,0.12726937399366306,10596100000.0,108.4,0.04105463318180964,-0.0035977859778597784,801
2020Q2,ADVWW,Advertising Agencies,Communication Services,0.5513749967810829,2251437500.0,2.2,3.377539319576129,-0.0818181818181818,1393
2020Q3,ADVWW,Advertising Agencies,Communication Services,0.5434558104186297,3226829665.0,1.7,4.491845543125225,0.10588235294117647,1280
2020Q4,ADVWW,Advertising Agencies,Communication Services,0.3743409770190941,4182809713.0,2.83,2.718109600630526,-0.15547703180212014,1325
2020Q2,ADX,Asset Management,Financial Services,0.0,1621180074.0,8.97,1.9468372650736485,-0.04124860646599777,1635
2020Q4,ADX,Asset Management,Financial Services,0.00023301928233442735,1884393598.0,10.99,1.8595127476525202,0.3257506824385805,1860
2020Q2,AEE,Regulated Electric,Utilities,0.35474413646055436,17385956000.0,60.85,0.5475954423179388,0.016269515201314706,437
2020Q3,AEE,Regulated Electric,Utilities,0.35393387292328865,19564392000.0,68.82,0.499193727741658,0.021505376344086023,453
2020Q4,AEE,Regulated Electric,Utilities,0.3614111770215423,19858464000.0,68.38,0.5283376480710889,0.00687335478210003,521
2020Q2,AEG,Insurance - Diversified,Financial Services,0.025341227290968694,7649880000.0,2.44,4.039452627865073,-0.1680327868852459,747
2020Q4,AEG,Insurance - Diversified,Financial Services,0.024949641065851912,10281850000.0,3.35,2.81947924610524,0.008059701492537314,816
2020Q4,AEI,Real Estate - Development,Real Estate,0.03792327500432699,51261875.0,119.6,0.002784785135602213,0.00033110367892976594,2192
2020Q2,AEIS,Electrical Equipment & Parts,Industrials,0.2894006586169045,2598051750.0,66.56,0.2816224505194628,0.01141826923076923,1300
2020Q3,AEIS,Electrical Equipment & Parts,Industrials,0.27907378849194436,2409343200.0,61.8,0.32432208774807525,0.019255663430420712,1461
2020Q4,AEIS,Electrical Equipment & Parts,Industrials,0.26363066195327534,3716666160.0,95.22,0.2235210348273382,0.011447174963243018,1404
2020Q2,AEM,Gold,Basic Materials,0.21248281686701742,15449350200.0,56.34,0.3854082899527093,0.0078097266595669144,469
2020Q3,AEM,Gold,Basic Materials,0.18280483838136513,19270316990.0,70.19,0.3227769203183925,0.013107280239350335,456
2020Q4,AEM,Gold,Basic Materials,0.17530514298076239,17104104270.0,62.51,0.37479588461474767,0.013597824348104304,579
2020Q2,AEO,Apparel - Retail,Consumer Cyclical,0.6266017760889405,1812833500.0,9.66,0.6188195891407314,-0.15942028985507248,1544
2020Q3,AEO,Apparel - Retail,Consumer Cyclical,0.6802415451480385,2461199850.0,13.12,0.45732165601125696,-0.006303353658536586,1443
2020Q4,AEO,Apparel - Retail,Consumer Cyclical,0.6318874054339142,3337841700.0,17.91,0.3588921396571435,0.01954215522054718,1475
2020Q2,AEP,Regulated Electric,Utilities,0.4212709241589208,39515613371.0,66.29,0.6089240088502029,0.01583949313621964,218
2020Q3,AEP,Regulated Electric,Utilities,0.4243410476392597,40569826302.0,68.6,0.5983317033261656,0.022011661807580178,238
2020Q4,AEP,Regulated Electric,Utilities,0.4292186950513391,41390072536.0,70.46,0.5875793950667905,0.012489355662787398,290
2020Q2,AER,Rental & Leasing Services,Industrials,0.6799290760714075,3924717288.0,30.47,2.4812783659279996,0.06334099113882508,1064
2020Q3,AER,Rental & Leasing Services,Industrials,0.7008840704999816,3213989706.0,24.92,2.771272511478865,-0.26725521669341895,1286
2020Q4,AER,Rental & Leasing Services,Industrials,0.6885369136953093,5828938590.0,45.09,1.5372955859962,0.004879130627633621,1103
2020Q2,AES,Diversified Utilities,Utilities,0.5930104727188567,9635866924.0,12.17,0.3168565802054912,-0.010682004930156122,652
2020Q3,AES,Diversified Utilities,Utilities,0.604692561356407,12319780594.0,15.35,0.19632107763206028,-0.03257328990228013,630
2020Q4,AES,Diversified Utilities,Utilities,0.5858451579342832,15651015651.0,20.07,0.19292294150530434,0.023916292974588936,622
2020Q2,AEVA,Auto - Parts,Consumer Cyclical,0.0,2097184720.0,49.6,0.11606733907540581,-0.002419354838709677,1439
2020Q3,AEVA,Auto - Parts,Consumer Cyclical,0.0,2114097500.0,50.0,0.016507753308444856,-0.0022,1547
2020Q4,AEVA,Auto - Parts,Consumer Cyclical,0.0,3073897765.0,72.7,0.008755333474794338,-0.002888583218707015,1519
2020Q2,AFG,Insurance - Property & Casualty,Financial Services,0.02698011768524137,5597172000.0,38.0,1.7972187995071291,0.05210526315789474,884
2020Q3,AFG,Insurance - Property & Casualty,Financial Services,0.02883326494323622,5783404577.0,40.41,1.7788192568126815,0.04602821083890127,949
2020Q4,AFG,Insurance - Property & Casualty,Financial Services,0.026683522279313813,7526558000.0,54.49,1.4429476313727716,0.14699944944026425,969
2020Q2,AFGB,Insurance - Property & Casualty,Financial Services,0.02698011768524137,5597172000.0,20.03,3.409601317087913,0.09885172241637544,884
2020Q3,AFGB,Insurance - Property & Casualty,Financial Services,0.02883326494323622,5783404577.0,20.79,3.457531802203004,0.08946608946608947,949
2020Q4,AFGB,Insurance - Property & Casualty,Financial Services,0.026683522279313813,7526558000.0,22.33,3.52110239290203,0.3587102552619794,969
2020Q2,AFGC,Insurance - Property & Casualty,Financial Services,0.02698011768524137,5597172000.0,18.71,3.6501504212330786,0.10582576162479956,884
2020Q3,AFGC,Insurance - Property & Casualty,Financial Services,0.02883326494323622,5783404577.0,20.34,3.5340258686234245,0.09144542772861357,949
2020Q4,AFGC,Insurance - Property & Casualty,Financial Services,0.026683522279313813,7526558000.0,21.42,3.6706917102475405,0.3739495798319327,969
2020Q2,AFGD,Insurance - Property & Casualty,Financial Services,0.02698011768524137,5597172000.0,19.71,3.464957604326276,0.1004566210045662,884
2020Q3,AFGD,Insurance - Property & Casualty,Financial Services,0.02883326494323622,5783404577.0,20.47,3.5115821283732513,0.0908646800195408,949
2020Q4,AFGD,Insurance - Property & Casualty,Financial Services,0.026683522279313813,7526558000.0,22.09,3.5593579191264064,0.3626075147125396,969
2020Q3,AFGE,Insurance - Property & Casualty,Financial Services,0.02883326494323622,5783404577.0,21.04,3.41644896234793,0.08840304182509506,949
2020Q4,AFGE,Insurance - Property & Casualty,Financial Services,0.026683522279313813,7526558000.0,21.76,3.6133371522749225,0.36810661764705876,969
2020Q1,AFJAX,Asset Management,Financial Services,0.03406950401292149,1328432840.0,13.3,0.669687721546396,0.0014586466165413534,179
2020Q2,AFJAX,Asset Management,Financial Services,0.034019373182587374,1523698463.0,15.36,0.5861789435706031,0.01171875,1678
2020Q3,AFJAX,Asset Management,Financial Services,0.034019373182587374,1615879323.0,16.43,0.548004173660649,0.010955569080949483,1732
2020Q2,AFL,Insurance - Life,Financial Services,0.049469402305728674,25642478940.0,31.97,1.2818663092277305,0.035032843290584925,322
2020Q3,AFL,Insurance - Life,Financial Services,0.04861607281538318,25042896300.0,32.49,1.40461464594178,0.1061865189289012,381
2020Q4,AFL,Insurance - Life,Financial Services,0.047847788425426745,30637072860.0,40.01,1.2174757506086642,0.03449137715571107,383
2020Q2,AFYA,Education & Training Services,Consumer Defensive,0.13871497250785025,2180031457.0,23.14,1.2125903002018827,0.028089887640449437,1418
2020Q3,AFYA,Education & Training Services,Consumer Defensive,0.16047349919870468,2536476217.0,26.89,1.083143307777157,0.029750836742283376,1427
2020Q4,AFYA,Education & Training Services,Consumer Defensive,0.23812786440822242,2361614711.0,24.98,1.1931924860652674,0.0244195356285028,1708
2020Q2,AG,Silver,Basic Materials,0.15692311614503102,1983631999.0,9.83,0.32913359372576173,-0.00508646998982706,1476
2020Q3,AG,Silver,Basic Materials,0.13423952574155437,2046029546.0,9.4,0.39906213920331607,0.014893617021276596,1573
2020Q4,AG,Silver,Basic Materials,0.13203859017694303,2991000929.0,13.28,0.28768958204103673,0.012048192771084338,1544
2020Q2,AGCO,Agricultural - Machinery,Industrials,0.24957572640781692,4153954000.0,46.74,0.7644195969751139,0.01989730423620026,1032
2020Q3,AGCO,Agricultural - Machinery,Industrials,0.22016800372781886,5562823000.0,62.73,0.5980022888267836,0.03347680535628886,976
2020Q4,AGCO,Agricultural - Machinery,Industrials,0.21034312457374005,7762677000.0,87.23,0.45610892860777946,0.02074974206121747,952
2020Q2,AGEN,Biotechnology,Healthcare,0.20094303061619945,14357626199.0,78.6,-0.32891271586109966,-0.07137404580152673,490
2020Q3,AGEN,Biotechnology,Healthcare,0.1797362127903053,15437600000.0,80.0,-0.27165275921181614,-0.06999999999999999,531
2020Q4,AGEN,Biotechnology,Healthcare,0.25978257829325824,12741051600.0,63.6,-0.33950592076342406,-0.06273584905660377,716
2020Q2,AGI,Gold,Basic Materials,0.02867577824064827,3668292880.0,8.98,0.7648932768005198,0.0033407572383073493,1111
